timestamp,prediction_latency_ms,prefetch_count,cache_hit_rate,prediction_accuracy
2025-12-02T22:22:38.786354,0.027,1,0.0,0.0
2025-12-02T22:22:39.784270,0.027,2,0.0049,0.0049
2025-12-02T22:22:40.787979,0.027,0,0.0049,0.0049
2025-12-02T22:22:41.793019,0.032,0,0.0049,0.0049
2025-12-02T22:22:42.796311,0.03,0,0.0049,0.0049
2025-12-02T22:22:43.800414,0.029,0,0.0049,0.0049
2025-12-02T22:22:44.803036,0.029,2,0.0049,0.0049
2025-12-02T22:22:45.806716,0.029,0,0.0049,0.0049
2025-12-02T22:22:46.811350,0.027,0,0.0049,0.0049
2025-12-02T22:22:47.815970,0.027,0,0.0049,0.0049
2025-12-02T22:22:48.819615,0.027,0,0.0049,0.0049
2025-12-02T22:22:49.824932,0.027,2,0.0049,0.0049
2025-12-02T22:22:50.827636,0.027,0,0.0049,0.0049
2025-12-02T22:22:51.831894,0.026,0,0.0049,0.0049
2025-12-02T22:22:52.835343,0.026,0,0.0049,0.0049
2025-12-02T22:22:53.839916,0.026,0,0.0049,0.0049
2025-12-02T22:22:54.843234,0.026,2,0.0049,0.0049
2025-12-02T22:22:55.862424,0.026,10,0.0061,0.0061
2025-12-02T22:22:56.853844,0.028,11,0.0085,0.0085
2025-12-02T22:22:57.857773,0.031,0,0.0085,0.0085
2025-12-02T22:22:58.862748,0.034,0,0.0085,0.0085
2025-12-02T22:22:59.867722,0.035,0,0.0085,0.0085
2025-12-02T22:23:00.871169,0.035,0,0.0085,0.0085
2025-12-02T22:23:01.875405,0.032,2,0.0085,0.0085
2025-12-02T22:23:02.882218,0.028,2,0.0084,0.0084
2025-12-02T22:23:03.924688,0.026,19,0.0364,0.0364
2025-12-02T22:23:04.889028,0.031,1,0.0363,0.0363
2025-12-02T22:23:05.894111,0.033,0,0.0363,0.0363
2025-12-02T22:23:06.898169,0.033,0,0.0363,0.0363
2025-12-02T22:23:07.903030,0.034,0,0.0363,0.0363
2025-12-02T22:23:08.906801,0.033,0,0.0363,0.0363
2025-12-02T22:23:09.910802,0.029,2,0.0363,0.0363
2025-12-02T22:23:10.917759,0.028,9,0.048,0.048
2025-12-02T22:23:11.920202,0.03,10,0.0717,0.0717
2025-12-02T22:23:12.927082,0.034,0,0.0717,0.0717
2025-12-02T22:23:13.931289,0.034,0,0.0717,0.0717
2025-12-02T22:23:14.935444,0.033,1,0.0717,0.0717
2025-12-02T22:23:15.939817,0.032,0,0.0717,0.0717
2025-12-02T22:23:16.942619,0.031,1,0.0717,0.0717
2025-12-02T22:23:17.948328,0.028,0,0.0717,0.0717
2025-12-02T22:23:18.953099,0.029,0,0.0717,0.0717
2025-12-02T22:23:19.956894,0.029,1,0.0717,0.0717
2025-12-02T22:23:20.963616,0.028,0,0.0717,0.0717
2025-12-02T22:23:21.966411,0.028,1,0.0717,0.0717
2025-12-02T22:23:22.970917,0.027,0,0.0717,0.0717
2025-12-02T22:23:23.975685,0.025,0,0.0717,0.0717
2025-12-02T22:23:24.980617,0.026,1,0.0717,0.0717
2025-12-02T22:23:26.022647,0.029,17,0.0999,0.0999
2025-12-02T22:23:26.989444,0.035,7,0.1094,0.1094
2025-12-02T22:23:28.005437,0.035,0,0.1094,0.1094
2025-12-02T22:23:29.018961,0.036,0,0.1094,0.1094
2025-12-02T22:23:30.024847,0.036,0,0.1094,0.1094
2025-12-02T22:23:31.027939,0.034,0,0.1094,0.1094
2025-12-02T22:23:32.031655,0.028,2,0.1094,0.1094
2025-12-02T22:23:33.040193,0.028,9,0.1229,0.1229
2025-12-02T22:23:34.040818,0.03,11,0.1423,0.1423
2025-12-02T22:23:35.045138,0.029,0,0.1423,0.1423
2025-12-02T22:23:36.050092,0.028,0,0.1423,0.1423
2025-12-02T22:23:37.055365,0.029,0,0.1423,0.1423
2025-12-02T22:23:38.059758,0.028,0,0.1423,0.1423
2025-12-02T22:23:39.064520,0.025,2,0.1423,0.1423
2025-12-02T22:23:40.130253,0.025,7,0.157,0.157
2025-12-02T22:23:41.075343,0.025,13,0.1702,0.1702
2025-12-02T22:23:42.078261,0.028,0,0.1702,0.1702
2025-12-02T22:23:43.081023,0.03,0,0.1702,0.1702
2025-12-02T22:23:44.085493,0.03,1,0.1702,0.1702
2025-12-02T22:23:45.088918,0.03,0,0.1702,0.1702
2025-12-02T22:23:46.093641,0.03,1,0.1702,0.1702
2025-12-02T22:23:47.097882,0.027,0,0.1702,0.1702
2025-12-02T22:23:48.102266,0.025,0,0.1702,0.1702
2025-12-02T22:23:49.106833,0.024,1,0.1702,0.1702
2025-12-02T22:23:50.110510,0.024,0,0.1702,0.1702
